"","Entry","From","Reviewed","Protein names","Gene Names","Annotation","Keywords","PubMed ID","Gene Names (ORF)","KEGG","eggNOG","RefSeq","CAZy","BRENDA","OrthoDB","Pfam","InterPro","BioCyc","UniPathway","gene_locus","gene_name","SubtiCats","subti_func","UniKey"
"11","A4FB46","A4FB46","reviewed","Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB SACE_1961",2,"Cell cycle;Cell division;Coiled coil;Reference proteome;Septation;Sporulation","19567872; 17369815","","sen:SACE_1961;","ENOG5032RFA;","WP_011873518.1;","","","3853096at2;","PF04686;","IPR006776;IPR038658;","","",NA,NA,NA,NA,"sporulation"
"12","A4IKI9","A4IKI9","reviewed","Small, acid-soluble spore protein K (SASP K)","sspK GTNG_0461",2,"Sporulation","17372208","","gtn:GTNG_0461;","ENOG5033JD2;","WP_008881563.1;","","","","PF08176;","IPR012611;","","",NA,NA,NA,NA,"sporulation"
"13","A4IKT9","A4IKT9","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr GTNG_0561",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17372208","","gtn:GTNG_0561;","COG1846;","WP_011886866.1;","","","","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","",NA,NA,NA,NA,"sporulation"
"14","A4IMM1","A4IMM1","reviewed","Small, acid-soluble spore protein P (SASP P)","sspP GTNG_1203",2,"Sporulation","17372208","","gtn:GTNG_1203;","ENOG5032ZXB;","WP_081432638.1;","","","","PF08179;","IPR012614;","","",NA,NA,NA,NA,"sporulation"
"15","A4IMM3","A4IMM3","reviewed","Small, acid-soluble spore protein O (SASP O)","sspO GTNG_1205",2,"Sporulation","17372208","","gtn:GTNG_1205;","ENOG5033BZS;","WP_041264360.1;","","","","PF08175;","IPR012613;","","",NA,NA,NA,NA,"sporulation"
"16","A4IN31","A4IN31","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 GTNG_1365",2,"Sporulation","17372208","","gtn:GTNG_1365;","ENOG50304MV;","WP_008879350.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"17","A4IN74","A4IN74","reviewed","Small, acid-soluble spore protein N (SASP N)","sspN GTNG_1408",2,"Sporulation","17372208","","gtn:GTNG_1408;","ENOG5033HHC;","WP_011887312.1;","","","","PF08177;","IPR012612;","","",NA,NA,NA,NA,"sporulation"
"18","A4IN75","A4IN75","reviewed","Small, acid-soluble spore protein Tlp","tlp GTNG_1409",2,"Sporulation","17372208","","gtn:GTNG_1409;","ENOG50330RR;","WP_008879300.1;","","","","PF19824;","IPR017524;","","",NA,NA,NA,NA,"sporulation"
"19","A4IPX4","A4IPX4","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 GTNG_2026",2,"Sporulation","17372208","","gtn:GTNG_2026;","ENOG50333NS;","WP_008880497.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"20","A4IQI5","A4IQI5","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB GTNG_2240",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17372208","","gtn:GTNG_2240;","COG2172;","WP_008879718.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"21","A4ISB5","A4ISB5","reviewed","Small, acid-soluble spore protein H 3 (SASP H 3)","sspH3 GTNG_2874",2,"Sporulation","17372208","","gtn:GTNG_2874;","ENOG50330J3;","WP_008881789.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"22","A4X5B6","A4X5B6","reviewed","Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Strop_1600",2,"Cell cycle;Cell division;Reference proteome;Septation;Sporulation","19567872; 17563368","","stp:Strop_1600;","ENOG5032RFA;","WP_011905498.1;","","","","PF04686;","IPR006776;IPR038658;","","",NA,NA,NA,NA,"sporulation"
"23","A5HZY2","A5HZY2","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 CBO0789 CLC_0845",1,"Reference proteome;Sporulation","17519437; 18060065","","cbh:CLC_0845;cbo:CBO0789;","","WP_011948497.1;YP_001253326.1;YP_001386721.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"24","A5I174","A5I174","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 CBO1236 CLC_1277",1,"Reference proteome;Sporulation","17519437; 18060065","","cbh:CLC_1277;cbo:CBO1236;","","WP_003400937.1;YP_001253760.1;YP_001387143.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"25","A5N217","A5N217","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB CKL_3155",3,"ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase","18218779","","ckl:CKL_3155;","COG2172;","WP_012103498.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"26","A6LRL7","A6LRL7","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB Cbei_0813",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","","","cbe:Cbei_0813;","COG2172;","WP_011968157.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"27","A6M0F0","A6M0F0","reviewed","Small, acid-soluble spore protein H (SASP H)","sspH Cbei_3970",1,"Sporulation","","","cbe:Cbei_3970;","","WP_012060128.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"28","A6QGC0","A6QGC0","reviewed","Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130",5,"ATP-binding;Germination;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Repeat;Serine/threonine-protein kinase;Signal-anchor;Transferase;Transmembrane;Transmembrane helix","17951380; 18984160","","sae:NWMN_1130;","","","","","","PF03793;PF00069;PF21160;","IPR011009;IPR005543;IPR000719;IPR017441;IPR008271;","","",NA,NA,NA,NA,"germination"
"29","A6TQ57","A6TQ57","reviewed","Small, acid-soluble spore protein H (SASP H)","sspH Amet_2166",2,"Reference proteome;Sporulation","27811105","","amt:Amet_2166;","ENOG5033AUF;","WP_041720658.1;","","","1683648at2;","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"30","A6WCJ4","A6WCJ4","reviewed","Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Krad_3069",2,"Cell cycle;Cell division;Reference proteome;Septation;Sporulation","19057647; 19567872","","kra:Krad_3069;","ENOG5032RFA;","","","","","PF04686;","IPR006776;IPR038658;","","",NA,NA,NA,NA,"sporulation"
"31","A7FS46","A7FS46","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 CLB_0831",1,"Sporulation","18060065","","cba:CLB_0831;","","WP_011948497.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"32","A7FTB7","A7FTB7","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 CLB_1265",1,"Sporulation","18060065","","cba:CLB_1265;","","WP_003400937.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"33","A7GBI7","A7GBI7","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 CLI_0875",1,"Sporulation","","","cbf:CLI_0875;","","WP_003403913.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"34","A7GCS6","A7GCS6","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 CLI_1321",1,"Sporulation","","","cbf:CLI_1321;","","WP_003400937.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"35","A7GJW0","A7GJW0","reviewed","Putative septation protein SpoVG (Stage V sporulation protein G)","spoVG Bcer98_0043",2,"Cell cycle;Cell division;Septation;Sporulation","17434157","","bcy:Bcer98_0043;","COG2088;","WP_000454042.1;","","","9796286at2;","PF04026;","IPR007170;IPR036751;","","",NA,NA,NA,NA,"sporulation"
"36","A7GKY7","A7GKY7","reviewed","Small, acid-soluble spore protein K (SASP K)","sspK Bcer98_0440",2,"Sporulation","17434157","","bcy:Bcer98_0440;","","WP_011983551.1;","","","2382188at2;","PF08176;","IPR012611;","","",NA,NA,NA,NA,"sporulation"
"37","A7GL73","A7GL73","reviewed","Small, acid-soluble spore protein H 1 (SASP H 1)","sspH1 Bcer98_0530",2,"Sporulation","17434157","","bcy:Bcer98_0530;","ENOG50339TA;","WP_011983637.1;","","","2721675at2;","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"38","A7GLZ1","A7GLZ1","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr Bcer98_0812",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17434157","","bcy:Bcer98_0812;","COG1846;","WP_011983903.1;","","","2393954at2;","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","",NA,NA,NA,NA,"sporulation"
"39","A7GNL0","A7GNL0","reviewed","Small, acid-soluble spore protein H 2 (SASP H 2)","sspH2 Bcer98_1397",2,"Sporulation","17434157","","bcy:Bcer98_1397;","ENOG5033AUF;","WP_012093891.1;","","","1683648at2;","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"40","A7GQU9","A7GQU9","reviewed","Small, acid-soluble spore protein N (SASP N)","sspN Bcer98_2258",2,"Sporulation","17434157","","bcy:Bcer98_2258;","","WP_012094701.1;","","","2455637at2;","PF08177;","IPR012612;","","",NA,NA,NA,NA,"sporulation"
"41","A7GQV6","A7GQV6","reviewed","Small, acid-soluble spore protein O (SASP O)","sspO Bcer98_2265",2,"Sporulation","17434157","","bcy:Bcer98_2265;","ENOG5033BZS;","WP_012094708.1;","","","2692139at2;","PF08175;","IPR012613;","","",NA,NA,NA,NA,"sporulation"
"42","A7GQV9","A7GQV9","reviewed","Small, acid-soluble spore protein P (SASP P)","sspP Bcer98_2268",2,"Sporulation","17434157","","bcy:Bcer98_2268;","ENOG5032ZXB;","WP_012094711.1;","","","2691914at2;","PF08179;","IPR012614;","","",NA,NA,NA,NA,"sporulation"
"43","A7GRZ1","A7GRZ1","reviewed","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","tgl Bcer98_2665",2,"Acyltransferase;Sporulation;Transferase","17434157","","bcy:Bcer98_2665;","ENOG502Z8C5;","WP_012095121.1;","","","1845399at2;","PF20085;","IPR020916;","","",NA,NA,NA,NA,"sporulation"
"44","A7GS97","A7GS97","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB Bcer98_2772",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17434157","","bcy:Bcer98_2772;","COG2172;","WP_012095231.1;","","","9768808at2;","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"45","A7GTL2","A7GTL2","reviewed","Small, acid-soluble spore protein I (SASP I)","sspI Bcer98_3251",1,"Sporulation","17434157","","bcy:Bcer98_3251;","ENOG5032YQ7;","WP_012095709.1;","","","2453696at2;","PF14098;","IPR017525;","","",NA,NA,NA,NA,"sporulation"
"46","A7GUR8","A7GUR8","reviewed","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","gpmI Bcer98_3679",3,"Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Sporulation","17434157","","bcy:Bcer98_3679;","COG0696;","WP_012096133.1;","","","9800863at2;","PF06415;PF01676;","IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;","","UPA00109;",NA,NA,NA,NA,"sporulation"
"47","A7Z0H2","A7Z0H2","reviewed","Putative septation protein SpoVG (Stage V sporulation protein G)","spoVG RBAM_000580",2,"Cell cycle;Cell division;Septation;Sporulation","17704766","","bay:RBAM_000580;","","WP_004264660.1;","","","","PF04026;","IPR007170;IPR036751;","","",NA,NA,NA,NA,"sporulation"
"48","A7Z2J3","A7Z2J3","reviewed","Small, acid-soluble spore protein H (SASP H)","sspH RBAM_008350",2,"Sporulation","17704766","","bay:RBAM_008350;","","WP_003155535.1;","","","","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
"49","A7Z2M2","A7Z2M2","reviewed","Small, acid-soluble spore protein K (SASP K)","sspK RBAM_008640",2,"Sporulation","17704766","","bay:RBAM_008640;","","WP_003155495.1;","","","","PF08176;","IPR012611;","","",NA,NA,NA,NA,"sporulation"
"50","A7Z311","A7Z311","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr RBAM_010230",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17704766","","bay:RBAM_010230;","","WP_003155240.1;","","","","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","",NA,NA,NA,NA,"sporulation"
"51","A7Z565","A7Z565","reviewed","Small, acid-soluble spore protein P (SASP P)","sspP RBAM_017780",2,"Sporulation","17704766","","bay:RBAM_017780;","","WP_003153984.1;","","","","PF08179;","IPR012614;","","",NA,NA,NA,NA,"sporulation"
"52","A7Z566","A7Z566","reviewed","Small, acid-soluble spore protein O (SASP O)","sspO RBAM_017790",2,"Sporulation","17704766","","bay:RBAM_017790;","","WP_003153982.1;","","","","PF08175;","IPR012613;","","",NA,NA,NA,NA,"sporulation"
"53","A7Z570","A7Z570","reviewed","Small, acid-soluble spore protein N (SASP N)","sspN RBAM_017830",2,"Sporulation","17704766","","bay:RBAM_017830;","","WP_003153977.1;","","","","PF08177;","IPR012612;","","",NA,NA,NA,NA,"sporulation"
"54","A7Z571","A7Z571","reviewed","Small, acid-soluble spore protein Tlp","tlp RBAM_017840",2,"Sporulation","17704766","","bay:RBAM_017840;","","WP_007410320.1;","","","","PF19824;","IPR017524;","","",NA,NA,NA,NA,"sporulation"
"55","A7Z692","A7Z692","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB RBAM_021570",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17704766","","bay:RBAM_021570;","","WP_012117895.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"56","A7Z7F5","A7Z7F5","reviewed","Small, acid-soluble spore protein I (SASP I)","sspI RBAM_025730",1,"Sporulation","17704766","","bay:RBAM_025730;","","WP_003152527.1;","","","","PF14098;","IPR017525;","","",NA,NA,NA,NA,"sporulation"
"57","A7Z8Y2","A7Z8Y2","reviewed","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","gpmI RBAM_031270",3,"Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Sporulation","17704766","","bay:RBAM_031270;","","WP_012118484.1;","","","","PF06415;PF01676;","IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;","","UPA00109;",NA,NA,NA,NA,"sporulation"
"58","A8F916","A8F916","reviewed","Putative septation protein SpoVG (Stage V sporulation protein G)","spoVG BPUM_0033",2,"Cell cycle;Cell division;Septation;Sporulation","17895969","","bpu:BPUM_0033;","COG2088;","WP_008357439.1;","","","9796286at2;","PF04026;","IPR007170;IPR036751;","","",NA,NA,NA,NA,"sporulation"
"59","A8FB65","A8FB65","reviewed","Small, acid-soluble spore protein K (SASP K)","sspK BPUM_0798",2,"Sporulation","17895969","","bpu:BPUM_0798;","","WP_003217849.1;","","","2382188at2;","PF08176;","IPR012611;","","",NA,NA,NA,NA,"sporulation"
"60","A8FBL1","A8FBL1","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr BPUM_0944",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17895969","","bpu:BPUM_0944;","COG1846;","WP_012009452.1;","","","2393954at2;","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","",NA,NA,NA,NA,"sporulation"
"61","A8FDQ8","A8FDQ8","reviewed","Small, acid-soluble spore protein P (SASP P)","sspP BPUM_1697",2,"Sporulation","17895969","","bpu:BPUM_1697;","ENOG5032ZXB;","WP_012010105.1;","","","2691914at2;","PF08179;","IPR012614;","","",NA,NA,NA,NA,"sporulation"
"62","A8FDQ9","A8FDQ9","reviewed","Small, acid-soluble spore protein O (SASP O)","sspO BPUM_1698",2,"Sporulation","17895969","","bpu:BPUM_1698;","","WP_012010106.1;","","","2692139at2;","PF08175;","IPR012613;","","",NA,NA,NA,NA,"sporulation"
"63","A8FDR3","A8FDR3","reviewed","Small, acid-soluble spore protein N (SASP N)","sspN BPUM_1702",2,"Sporulation","17895969","","bpu:BPUM_1702;","","","","","2455637at2;","PF08177;","IPR012612;","","",NA,NA,NA,NA,"sporulation"
"64","A8FDR4","A8FDR4","reviewed","Small, acid-soluble spore protein Tlp","tlp BPUM_1703",1,"Sporulation","17895969","","bpu:BPUM_1703;","ENOG50330RR;","WP_012010110.1;","","","1799076at2;","PF19824;","IPR017524;","","",NA,NA,NA,NA,"sporulation"
"65","A8FET0","A8FET0","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB BPUM_2077",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17895969","","bpu:BPUM_2077;","COG2172;","WP_012010447.1;","","","9768808at2;","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"66","A8FGT0","A8FGT0","reviewed","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","tgl BPUM_2792",2,"Acyltransferase;Sporulation;Transferase","17895969","","bpu:BPUM_2792;","ENOG502Z8C5;","WP_012011070.1;","","","1845399at2;","PF20085;","IPR020916;","","",NA,NA,NA,NA,"sporulation"
"67","A8FHJ1","A8FHJ1","reviewed","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","gpmI BPUM_3054",3,"Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Sporulation","17895969","","bpu:BPUM_3054;","COG0696;","WP_012011301.1;","","","9800863at2;","PF06415;PF01676;","IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;","","UPA00109;",NA,NA,NA,NA,"sporulation"
"68","A9VFH8","A9VFH8","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB BcerKBAB4_3904",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17434157","","bwe:BcerKBAB4_3904;","COG2172;","WP_001243400.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"69","A9VI69","A9VI69","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr BcerKBAB4_0960",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17434157","","bwe:BcerKBAB4_0960;","COG1846;","WP_002011118.1;","","","","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","",NA,NA,NA,NA,"sporulation"
"70","A9VJM6","A9VJM6","reviewed","Small, acid-soluble spore protein I (SASP I)","sspI BcerKBAB4_4394",1,"Sporulation","17434157","","bwe:BcerKBAB4_4394;","ENOG5032YQ7;","WP_000009511.1;","","","","PF14098;","IPR017525;","","",NA,NA,NA,NA,"sporulation"
"71","A9VN61","A9VN61","reviewed","Putative septation protein SpoVG (Stage V sporulation protein G)","spoVG BcerKBAB4_0043",2,"Cell cycle;Cell division;Septation;Sporulation","17434157","","bwe:BcerKBAB4_0043;","COG2088;","WP_000454042.1;","","","","PF04026;","IPR007170;IPR036751;","","",NA,NA,NA,NA,"sporulation"
"72","A9VNW3","A9VNW3","reviewed","Small, acid-soluble spore protein O (SASP O)","sspO BcerKBAB4_3303",2,"Sporulation","17434157","","bwe:BcerKBAB4_3303;","","WP_002033549.1;","","","","PF08175;","IPR012613;","","",NA,NA,NA,NA,"sporulation"
"73","A9VSR6","A9VSR6","reviewed","Small, acid-soluble spore protein K (SASP K)","sspK BcerKBAB4_0436",2,"Sporulation","17434157","","bwe:BcerKBAB4_0436;","","WP_002125059.1;","","","","PF08176;","IPR012611;","","",NA,NA,NA,NA,"sporulation"
"74","A9VUC4","A9VUC4","reviewed","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","tgl BcerKBAB4_3789",2,"Acyltransferase;Sporulation;Transferase","17434157","","bwe:BcerKBAB4_3789;","ENOG502Z8C5;","WP_002014859.1;","","","","PF20085;","IPR020916;","","",NA,NA,NA,NA,"sporulation"
"75","B0K150","B0K150","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB Teth514_1558",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","","","tex:Teth514_1558;","","WP_003868002.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"76","B0K9G3","B0K9G3","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB Teth39_1121",3,"ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase","","","tpd:Teth39_1121;","COG2172;","WP_003868002.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"77","B1HVK6","B1HVK6","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr Bsph_0398",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","18296527","","lsp:Bsph_0398;","","WP_008173331.1;","","","","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","",NA,NA,NA,NA,"sporulation"
"78","B1YK88","B1YK88","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr Exig_0688",2,"DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation","","","esi:Exig_0688;","COG1846;","WP_012369593.1;","","","2393954at2;","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","",NA,NA,NA,NA,"sporulation"
"79","B2TLY1","B2TLY1","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB CLL_A0875",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","","","cbk:CLL_A0875;","","","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"80","B2V2G9","B2V2G9","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB CLH_0842",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","","","cbt:CLH_0842;","","WP_012450152.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
